Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.88.131-117.18.237.29-33438-80-6,192.168.88.131,33438,117.18.237.29,80,6,03/10/2019 05:08:50 AM,46742,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,64.18210602883916,23371.0,31594.945196977318,45712.0,1030.0,0,0,0,0,0,46742.0,23371.0,31594.945196977318,45712.0,1030.0,0,0,0,0,0,60,0.0,64.18210602883916,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-103.231.98.196-56630-443-6,192.168.88.131,56630,103.231.98.196,443,6,03/10/2019 05:08:52 AM,856,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,36214.95327102804,2336.448598130841,856.0,0.0,856.0,856.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1168.2242990654206,1168.2242990654206,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,55480,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-103.231.98.196-56630-443-6,103.231.98.196,443,192.168.88.131,56630,6,03/10/2019 05:08:52 AM,64794,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.30058338735068,32397.0,45561.718338974,64614.0,180.0,64614.0,64614.0,0.0,64614.0,64614.0,0,0,0,0,0,0,0,0,0,40,20,30.86705559156712,15.43352779578356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-13.35.0.48-39158-443-6,192.168.88.131,39158,13.35.0.48,443,6,03/10/2019 05:08:52 AM,434,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4608.294930875576,434.0,0.0,434.0,434.0,0,0,0,0,0,434.0,434.0,0.0,434.0,434.0,0,0,0,0,0,40,0.0,4608.294930875576,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-216.58.200.36-40518-443-6,192.168.88.131,40518,216.58.200.36,443,6,03/10/2019 05:08:52 AM,24027,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,3829.025679443959,166.47937736712865,8009.0,12783.830568339054,22769.0,447.0,0,0,0,0,0,23580.0,11790.0,15526.650701294211,22769.0,811.0,0,1,0,0,20,60,41.61984434178216,124.85953302534648,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-31.13.87.8-35694-443-6,192.168.88.131,35694,31.13.87.8,443,6,03/10/2019 05:08:53 AM,17359,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,5299.844461086468,230.42802004723777,5786.333333333334,8968.81387549844,16141.0,450.0,0,0,0,0,0,16909.0,8454.5,10870.352547180795,16141.0,768.0,0,1,0,0,20,60,57.60700501180944,172.8210150354283,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.65-192.168.88.131-443-60442-6,192.168.88.131,60442,172.217.160.65,443,6,03/10/2019 05:08:50 AM,16726,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,5500.418510104029,239.14863087408824,5575.333333333334,7956.912990182394,14763.0,931.0,0,0,0,0,0,15795.0,7897.5,9709.283212472485,14763.0,1032.0,0,1,0,0,20,60,59.78715771852206,179.36147315556616,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-117.18.237.29-33488-80-6,192.168.88.131,33488,117.18.237.29,80,6,03/10/2019 05:08:52 AM,562,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3558.7188612099644,562.0,0.0,562.0,562.0,0,0,0,0,0,562.0,562.0,0.0,562.0,562.0,0,0,0,0,0,40,0.0,3558.7188612099644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.104.120.80-192.168.88.131-443-53574-6,192.168.88.131,53574,172.104.120.80,443,6,03/10/2019 05:08:53 AM,588,0,2,0.0,46.0,0,0,0,0,46.0,0.0,23.0,32.526911934581186,78231.2925170068,3401.360544217687,588.0,0.0,588.0,588.0,0,0,0,0,0,588.0,588.0,0.0,588.0,588.0,0,1,0,0,0,40,0.0,3401.360544217687,0.0,46.0,30.666666666666664,26.558112382722786,705.3333333333334,0,0,0,1,1,0,0,0,0.0,46.0,0.0,23.0,0,0,0,0,0,0,0,0,2,46,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.24.14-192.168.88.131-443-58672-6,192.168.88.131,58672,172.217.24.14,443,6,03/10/2019 05:08:49 AM,16177,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,5687.0866044384,247.26463497558262,5392.333333333334,7934.614567408636,14554.0,734.0,0,0,0,0,0,15443.0,7721.5,9662.614164914172,14554.0,889.0,0,1,0,0,20,60,61.816158743895656,185.44847623168695,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
